Team,2022–23,2021–22,2020–21,2019–20,2018–19,2017–18,2016–17,2015–16,2014–15,2013–14,2012–13
Golden State Warriors,7700,7000,5600,4700,4300,3500,3100,2600,1900,1300,750
New York Knicks,6600,6100,5800,5000,4600,4000,3600,3300,3000,2500,1400
Los Angeles Lakers,6400,5900,5500,4600,4400,3700,3300,3000,2700,2600,1400
Boston Celtics,4700,4000,3550,3200,3100,2800,2500,2200,2100,1700,875
Los Angeles Clippers,4650,3900,3300,2800,2600,2200,2200,2000,2000,1600,575
Chicago Bulls,4600,4100,3650,3300,3200,2900,2600,2500,2300,2000,1000
Dallas Mavericks,4500,3300,2700,2500,2400,2300,1900,1500,1400,1200,765
Houston Rockets,4400,3200,2750,2500,2500,2300,2200,1700,1500,1300,775
Philadelphia 76ers,4300,3150,2450,2100,2000,1700,1200,800,700,700,469
Toronto Raptors,4100,3100,2475,2200,2100,1700,1400,1100,980,920,520
Phoenix Suns,4000,2700,1800,1700,1600,1500,1300,1100,1000,910,565
Miami Heat,3900,3000,2300,2000,2000,1800,1700,1400,1300,1200,770
Brooklyn Nets,3850,3500,3200,2700,2500,2400,2300,1800,1700,1500,780
Washington Wizards,3500,2500,1925,1800,1800,1600,1400,1000,960,900,485
Denver Nuggets,3380,1930,1725,1700,1600,1400,1100,890,855,855,495
Cleveland Cavaliers,3350,2050,1650,1600,1500,1300,1300,1200,1100,915,515
Sacramento Kings,3330,2030,2000,1800,1800,1600,1400,1100,925,800,550
Atlanta Hawks,3330,1975,1680,1500,1500,1300,1200,885,825,825,425
San Antonio Spurs,3250,2000,1980,1900,1800,1600,1600,1200,1200,1000,660
Milwaukee Bucks,3200,2300,1900,1600,1600,1400,1100,785,675,600,405
Utah Jazz,3090,2025,1750,1700,1600,1400,1200,910,875,850,525
Portland Trail Blazers,3080,2100,2050,1900,1900,1600,1300,1100,975,940,587
Detroit Pistons,3080,1900,1580,1500,1500,1300,1100,900,850,810,450
Oklahoma City Thunder,3050,1875,1630,1600,1600,1500,1300,1000,950,930,590
Charlotte Hornets,3000,1700,1575,1500,1500,1300,1100,780,750,725,410
Orlando Magic,2950,1850,1640,1500,1400,1300,1200,920,900,875,560
Indiana Pacers,2900,1800,1670,1600,1500,1400,1200,880,840,830,475
New Orleans Pelicans,2550,1600,1525,1400,1400,1200,1000,750,650,650,420
Minnesota Timberwolves,2500,1670,1550,1400,1400,1300,1100,770,720,625,430
Memphis Grizzlies,2400,1650,1500,1300,1300,1200,1000,790,780,750,453
