Year,Domestic,Forgien
1996-97,-2.5891954022988504,0.44210526315789467
1997-98,-2.1645977011494253,1.4833333333333334
1998-99,-1.7225352112676056,-14.52962962962963
1999-00,-2.151798561151079,-1.5633333333333332
2000-01,-2.0110837438423643,-2.0813953488372094
2001-02,-2.4984886649874056,0.06153846153846159
2002-03,-1.1163538873994638,-2.034375
2003-04,-2.3418848167539266,-0.7030769230769232
2004-05,-2.316624040920716,-2.75
2005-06,-2.3031331592689295,-0.8637499999999999
2006-07,-2.220572916666667,-3.5962500000000004
2007-08,-1.7670184696569922,-0.30519480519480513
2008-09,-2.416,-0.5960000000000001
2009-10,-2.0211382113821137,0.5397435897435897
2010-11,-1.8644204851752022,-2.1174418604651164
2011-12,-2.307213930348259,-0.7000000000000001
2012-13,-2.9178571428571427,-2.2241379310344827
2013-14,-2.2411471321695764,-2.6892473118279567
2014-15,-2.514572864321608,-1.8445544554455446
2015-16,-2.9007915567282323,-0.8254901960784314
2016-17,-2.1344,-2.038983050847458
2017-18,-3.1829039812646367,1.025423728813559
2018-19,-2.5474576271186438,-0.8024793388429753
2019-20,-1.0388613861386138,-0.19374999999999995
2020-21,-2.1192307692307693,-3.9547619047619045
2021-22,-4.494303797468355,-3.2637037037037038
2022-23,-1.613012048192771,-1.4700787401574804
2023-24,-2.332648401826484,-0.5578947368421052
