,Proportion of Players,Proportion of Drafted Players
2000-01,0.0957683741648107,0.3620689655172414
2001-02,0.11581291759465479,0.27586206896551724
2002-03,0.14645308924485126,0.3793103448275862
2003-04,0.14541387024608501,0.3898305084745763
2004-05,0.16631130063965885,0.4406779661016949
2005-06,0.17278617710583152,0.31666666666666665
2006-07,0.1724137931034483,0.2857142857142857
2007-08,0.16885964912280702,0.3114754098360656
2008-09,0.16666666666666666,0.3442622950819672
2009-10,0.174496644295302,0.29508196721311475
2010-11,0.18818380743982493,0.25
2011-12,0.1728395061728395,0.3
2012-13,0.18162839248434237,0.26229508196721313
2013-14,0.1882591093117409,0.3870967741935484
2014-15,0.20240480961923848,0.38333333333333336
2015-16,0.21205821205821207,0.35
2016-17,0.23935091277890466,0.484375
2017-18,0.21651376146788992,0.2
2018-19,0.22659176029962547,0.22950819672131148
2019-20,0.24060150375939848,0.3
2020-21,0.23247232472324722,0.23333333333333334
2021-22,0.22167487684729065,0.32786885245901637
2022-23,0.23431734317343172,0.3220338983050847
2023-24,0.23374340949033393,0.20689655172413793
